'United Arab Emirates', 'ARE', 'AED', '', 'United Arab Emirates Dirham', '3.672688', 'Active', 'No', 'No',
'Afghanistan', 'AFG', 'AFN', '', 'Afghan Afghani', '48.181299', 'Active', 'No', 'No',
'Albania', 'ALB', 'ALL', '', 'Albanian Lek', '109.734999', 'Active', 'No', 'No',
'Armenia', 'ARM', 'AMD', '', 'Armenian Dram', '410.544995', 'Active', 'No', 'No',
'Netherlands Antilles', 'ANT', 'ANG', '', 'Netherlands Antillean Guilder', '1.7738', 'Active', 'No', 'No',
'Angola', 'AGO', 'AOA', '', 'Angolan Kwanza', '95.489998', 'Active', 'No', 'No',
'Argentina', 'ARG', 'ARS', '', 'Argentine Peso', '4.615274', 'Active', 'No', 'No',
'Australia', 'AUS', 'AUD', '$', 'Australian Dollar', '0.953657', 'Active', 'No', 'Yes',
'Christmas Island', 'CXR', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Cocos Keeling) Islands', 'CCK', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Heard Island and McDonald Islands', 'HMD', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Kiribati', 'KIR', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Nauru', 'NRU', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Norfolk Island', 'NFK', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Tuvalu', 'TUV', 'AUD', '', 'Australian Dollar', '0.953657', 'Active', 'No', 'No',
'Aruba', 'ABW', 'AWG', '', 'Aruban Florin', '1.7901', 'Active', 'No', 'No',
'Azerbaijan', 'AZE', 'AZN', '', 'Azerbaijani Manat', '0.7854', 'Active', 'No', 'No',
'Bosnia-Herzegovina', 'BIH', 'BAM', '', 'Bosnia-Herzegovina Convertible Mark', '1.559625', 'Active', 'No', 'No',
'Barbados', 'BRB', 'BBD', '', 'Barbadian Dollar', '2', 'Active', 'No', 'No',
'Bangladesh', 'BGD', 'BDT', '', 'Bangladeshi Taka', '81.209433', 'Active', 'No', 'No',
'Bulgaria', 'BGR', 'BGN', '', 'Bulgarian Lev', '1.558388', 'Active', 'No', 'No',
'Bahrain', 'BHR', 'BHD', '', 'Bahraini Dina', '0.376694', 'Active', 'No', 'No',
'Burundi', 'BDI', 'BIF', '', 'Burundian Franc', '1434.126667', 'Active', 'No', 'No',
'Bermuda', 'BMU', 'BMD', '', 'Bermudan Dollar', '1', 'Active', 'No', 'No',
'Brunei Darussalam', 'BRN', 'BND', '', 'Brunei Dollar', '1.244213', 'Active', 'No', 'No',
'Bolivia', 'BOL', 'BOB', '', 'Bolivian Boliviano', '6.960804', 'Active', 'No', 'No',
'Brazil', 'BRA', 'BRL', 'R$', 'Brazilian Real', '2.0166', 'Active', 'No', 'Yes',
'Bahamas', 'BHS', 'BSD', '', 'Bahamian Dollar', '1', 'Active', 'No', 'No',
'Bhutan', 'BTN', 'BTN', '', 'Bhutanese Ngultrum', '51.295', 'Active', 'No', 'No',
